    n    m             Cnm                      Snm  
   30   17   -0.688529822354661E-08   -0.587758197826825E-08 
   30   18   -0.111625831083733E-07   -0.796819714002388E-08 
   30   19   -0.136325257536558E-07    0.274965538747752E-08 
   30   20   -0.522240341740800E-08    0.133399593678695E-07 
   30   21   -0.116616533944857E-07   -0.554438774816247E-08 
   30   22   -0.524295838491482E-08   -0.870858295344301E-08 
   30   23    0.539261299563404E-08   -0.109749323115847E-07 
   30   24   -0.273753474969356E-08   -0.257791965626319E-08 
   30   25    0.307695334983162E-08   -0.157203294648944E-07 
   30   26    0.135544288992157E-08    0.125507804911946E-07 
   30   27   -0.772945455692539E-08    0.125530137120533E-07 
   30   28   -0.582428229073653E-08   -0.809342596179049E-08 
   30   29    0.393886800210683E-08    0.187699427654489E-08 
   30   30    0.258872905026839E-08    0.847404049229424E-08 
   31    0    0.675955887299541E-08    0.000000000000000E+00 
   31    1    0.712086552599013E-08   -0.184770459419085E-07 
   31    2    0.626154203227406E-08    0.511701696393821E-08 
   31    3   -0.659549099927025E-08   -0.754307380651232E-08 
   31    4    0.113910130575125E-07   -0.517626757673382E-08 
   31    5   -0.114815117556911E-07    0.545688229336428E-08 
   31    6   -0.851046030288763E-10   -0.295443951853031E-09 
   31    7   -0.150705003240730E-08   -0.134200215522703E-08 
   31    8   -0.313298214543888E-08    0.213979685979445E-08 
   31    9    0.905434913698501E-09    0.584910197480299E-08 
   31   10    0.436960986810080E-08   -0.489238049482882E-08 
   31   11    0.198624992742605E-08    0.217044494990900E-07 
   31   12    0.573469377238149E-09    0.399574209678771E-08 
   31   13    0.975692234529621E-08    0.466670888670919E-08 
   31   14   -0.805539002528049E-08    0.323413725204444E-08 
   31   15    0.415779606268790E-08   -0.236370445916582E-08 
   31   16   -0.687945355775961E-08    0.614400952666896E-08 
   31   17   -0.294423880314167E-08    0.685375599582282E-08 
   31   18   -0.528936370847284E-09   -0.242687891017928E-08 
   31   19    0.213996689512175E-08    0.476933442873382E-08 
   31   20   -0.244897782631644E-08    0.573327624756213E-08 
   31   21   -0.995579391995018E-08    0.743131504364417E-08 
   31   22   -0.989053262608394E-08   -0.112287412045968E-07 
   31   23    0.806346812078072E-08    0.430454840667965E-08 
   31   24   -0.289171796135378E-08   -0.371576512694828E-08 
   31   25   -0.166369271912713E-07   -0.176254233897925E-08 
   31   26   -0.128492467047788E-07    0.178199280155603E-08 
   31   27   -0.113757449574752E-08    0.110351866545526E-07 
   31   28    0.102128260465742E-07    0.284607694986075E-08 
   31   29   -0.202358089005802E-08   -0.232597050995778E-08 
   31   30   -0.824944801176014E-09   -0.813539921637095E-08 
   31   31   -0.882526514130425E-08   -0.158004415305426E-08 
   32    0   -0.240069102843874E-08    0.000000000000000E+00 
   32    1   -0.760379802780217E-10    0.357933789422070E-08 
   32    2    0.115036441902510E-07   -0.287305890963426E-08 
   32    3   -0.417953125247504E-09    0.374043060547074E-08 
   32    4    0.197383573553516E-08   -0.730480322463050E-08 
   32    5    0.963374122137520E-08    0.127970514034257E-08 
   32    6   -0.111871751278545E-07   -0.839388197443387E-08 
   32    7    0.104620788654485E-08    0.445271101337549E-08 
   32    8    0.134394490080056E-07    0.728332094092483E-08 
   32    9    0.547673349465457E-08   -0.148470685632571E-08 
   32   10   -0.141742421043437E-08   -0.499024985460609E-08 
   32   11   -0.352769891921604E-08    0.791325253076825E-08 
   32   12   -0.170810839891226E-07    0.137415162584771E-07 
   32   13    0.413797224028800E-08    0.477745965332438E-08 
   32   14   -0.553224409229261E-08    0.196084765470841E-08 
   32   15    0.483785870438799E-08   -0.841806231375184E-08 
   32   16    0.373806031382141E-08    0.387318855870615E-08 
   32   17   -0.650749860066422E-08    0.100851760828723E-07 
   32   18    0.130243043474967E-07   -0.176707959229410E-08 
   32   19    0.700643615011062E-09   -0.287306042964239E-08 
   32   20    0.296547010681218E-08   -0.133451032844611E-09 
   32   21   -0.238236913078432E-08    0.116966902624541E-07 
   32   22   -0.122769417748446E-07   -0.236403591261502E-08 
   32   23    0.766612402602410E-08   -0.250492610742219E-08 
   32   24   -0.374906075925022E-08    0.144487792042784E-09 
   32   25   -0.193382683967384E-07   -0.580498325227931E-08 
   32   26    0.536463681492479E-08   -0.383113313346909E-08 
   32   27   -0.505614981629186E-08   -0.670069855588556E-08 
   32   28    0.158058048076710E-08   -0.570090152057357E-08 
   32   29    0.374728957028376E-08    0.299601618668946E-08 
   32   30   -0.691906932227839E-08    0.133793233421533E-08 
   32   31   -0.609195377570215E-08   -0.291695326570828E-09 
   32   32    0.348150938968256E-08    0.126314064033314E-08 
   33    0   -0.363430393887321E-08    0.000000000000000E+00 
   33    1   -0.175121049274058E-08   -0.389034424017715E-08 
   33    2   -0.605634773424752E-08    0.232368278791745E-08 
   33    3   -0.391263297693042E-09    0.615782393955306E-08 
   33    4   -0.640637500906537E-08    0.508836894821858E-08 
   33    5   -0.325051577846993E-09    0.427752173938724E-08 
   33    6    0.514237158663707E-09   -0.260114840045132E-08 
   33    7   -0.373548132953532E-08    0.737833391330471E-09 
   33    8   -0.400101556769684E-08    0.150821539525722E-07 
   33    9    0.524111342908871E-08    0.109869474051027E-07 
   33   10   -0.160709897804302E-08    0.114536344835036E-08 
   33   11    0.205062698826874E-08   -0.668144696748752E-08 
   33   12   -0.100140079369790E-08    0.969327042397545E-08 
   33   13    0.205957421461418E-08    0.297495474242113E-08 
   33   14    0.488214773800530E-08    0.564926636616935E-08 
   33   15   -0.461485064317991E-08   -0.347293022173964E-08 
   33   16    0.675905270350001E-08    0.560693479352083E-08 
   33   17   -0.518552701587806E-08    0.123482740131989E-07 
   33   18   -0.102424931064205E-07   -0.294530100978920E-08 
   33   19    0.800904982532776E-08    0.228095829163710E-08 
   33   20   -0.354628323860196E-08   -0.845292180292602E-08 
   33   21    0.810318691975669E-09    0.238011591616584E-09 
   33   22   -0.940639856447831E-08   -0.153440345855854E-07 
   33   23   -0.344179942290558E-09   -0.105232163488079E-07 
   33   24    0.111058538738174E-07   -0.915023459046572E-08 
   33   25    0.508672726791839E-08   -0.106228809008094E-07 
   33   26    0.103113901771917E-07    0.457265290886986E-08 
   33   27   -0.987175763596984E-09    0.107089125719045E-08 
   33   28    0.153001657344037E-08   -0.785278040717852E-09 
   33   29   -0.164379539900082E-07    0.551581759355415E-08 
   33   30   -0.161765869951627E-08   -0.184283628329576E-07 
   33   31    0.425308952744897E-08    0.858033026167378E-09 
   33   32    0.625203510881363E-08   -0.470057288911144E-08 
   33   33   -0.168217864478504E-08    0.835454771208186E-08 
   34    0   -0.893525599074800E-08    0.000000000000000E+00 
   34    1   -0.420434806900330E-09    0.653109368847135E-08 
   34    2    0.694298958354750E-08    0.754229334177328E-08 
   34    3    0.133966588413313E-07    0.855525785530418E-08 
   34    4   -0.808469433683311E-08    0.330720558653856E-09 
   34    5   -0.434413457135252E-08    0.263714258811341E-08 
   34    6   -0.733561930349507E-09    0.667383859433354E-08 
   34    7    0.212574450270109E-08   -0.691170100667506E-08 
   34    8   -0.751582505111305E-08    0.616441012359786E-08 
   34    9    0.216556842930262E-10   -0.217934665847062E-09 
   34   10   -0.952841661608082E-08    0.181140544662579E-08 
   34   11   -0.156276905517747E-08   -0.839069229377883E-09 
   34   12    0.148625038713869E-07   -0.415795658381769E-08 
   34   13   -0.338483696996771E-08    0.160934606330790E-08 
   34   14   -0.260957205577480E-08    0.973704689519330E-08 
   34   15    0.471236753384407E-09    0.600650681132056E-08 
   34   16   -0.199526800688920E-08   -0.215241139427723E-08 
   34   17   -0.400700356868102E-08    0.271465439785132E-08 
   34   18   -0.137002206775221E-07   -0.546446361435922E-08 
   34   19   -0.339262482656430E-08    0.654297746111587E-08 
   34   20    0.381815215955066E-08   -0.981889873793170E-08 
   34   21   -0.194862681046350E-08   -0.684815194221628E-08 
   34   22   -0.317173645454108E-08    0.366799926029005E-08 
   34   23   -0.100204799843026E-08   -0.123087302766255E-07 
   34   24    0.803759075427704E-08    0.361627477655441E-08 
   34   25    0.847605228642158E-08   -0.101726853893655E-07 
   34   26    0.361331816592581E-08   -0.131041631726005E-07 
   34   27    0.127037312380731E-07   -0.397240680960638E-08 
   34   28   -0.653743152596507E-09   -0.199614315137259E-07 
   34   29    0.666582367750513E-08   -0.425248725648440E-08 
   34   30   -0.207385670558337E-07   -0.921931852544154E-09 
   34   31   -0.477599245253997E-08   -0.197600328317044E-08 
   34   32    0.893414678990064E-08    0.181655017756208E-08 
   34   33    0.140160153720771E-07    0.429738673963971E-08 
   34   34   -0.876234378830714E-08    0.162983047298409E-08 
   35    0    0.776653296764055E-08    0.000000000000000E+00 
   35    1   -0.125448951065322E-07   -0.100817535778466E-07 
   35    2   -0.150735798722577E-07    0.711667482924202E-08 
   35    3    0.155021854862461E-08    0.228933390495291E-08 
   35    4   -0.255081153794956E-08    0.107168589463147E-07 
   35    5   -0.796909187012263E-08   -0.111200833719665E-07 
   35    6    0.620949308311649E-08    0.937957325059208E-08 
   35    7   -0.320551622301372E-08    0.234036107160410E-08 
   35    8    0.150295713395012E-08    0.965771416185725E-08 
   35    9   -0.140413084913702E-08   -0.222621428098481E-09 
   35   10   -0.228793155526140E-08    0.108018043039667E-07 
   35   11    0.219362203170093E-08   -0.338307862056603E-08 
   35   12    0.894139650554474E-08   -0.720109427131712E-08 
   35   13   -0.195227824664474E-08    0.406770753574101E-08 
   35   14   -0.643836077855103E-08   -0.658628713021294E-08 
   35   15   -0.142077281098646E-07    0.868503708651766E-08 
   35   16   -0.595286321813507E-08   -0.740406709599303E-08 
   35   17    0.112573296084553E-08   -0.967502953234480E-08 
   35   18   -0.522022177194879E-08   -0.109793676971516E-07 
   35   19   -0.128174516344425E-08   -0.348790873061641E-08 
   35   20    0.113134048838778E-08   -0.457060848971360E-09 
   35   21    0.126539916058265E-07   -0.486591869116563E-09 
   35   22    0.650856490586590E-08    0.594572370705737E-08 
   35   23   -0.849541913581113E-08   -0.243182840318695E-08 
   35   24    0.279207005129787E-08    0.531073045342121E-08 
   35   25    0.728206462768843E-08    0.174435308238225E-08 
   35   26   -0.441975260704575E-08    0.443330382220519E-08 
   35   27    0.110716792098915E-07   -0.134035803587204E-07 
   35   28    0.744032167132226E-08   -0.151475320382188E-07 
   35   29    0.748411339478193E-08    0.316146333326710E-08 
   35   30   -0.442908861043607E-08    0.288246056484833E-08 
   35   31    0.785877904286946E-08    0.361312618448894E-08 
   35   32   -0.345907330487681E-08   -0.830367088998151E-08 
   35   33    0.563390006932627E-08   -0.318615686049403E-08 
   35   34   -0.785255154617521E-09    0.279963521086764E-08 
   35   35   -0.597776192713119E-08   -0.504497057996124E-08 
   36    0   -0.365481149552786E-08    0.000000000000000E+00 
   36    1    0.479577818938942E-10    0.641269491120008E-08 
   36    2   -0.374899859019606E-08   -0.287559284058070E-08 
   36    3   -0.212176950176620E-08   -0.180368187868687E-07 
   36    4    0.493100618359858E-08    0.513876639231176E-09 
   36    5   -0.861776389280432E-08   -0.247984121746732E-09 
   36    6    0.107330994838425E-07   -0.308383540690757E-08 
   36    7    0.419545373520714E-08    0.676857823114409E-08 
   36    8    0.623226465807621E-08   -0.455412005222456E-08 
   36    9    0.161283212090273E-08   -0.103226456851811E-08 
   36   10    0.213461187241347E-08    0.639986673682381E-08 
   36   11   -0.385384852472000E-08    0.402013324054526E-08 
   36   12    0.216401547312407E-09   -0.105710190898160E-07 
   36   13   -0.779537636817420E-08    0.697447619896014E-08 
   36   14   -0.117098498474814E-07   -0.528070763427563E-08 
   36   15    0.189589086215070E-08    0.402246194723689E-08 
   36   16    0.204051300178720E-08    0.439574856883260E-09 
   36   17    0.542996891432844E-08   -0.878398133277499E-08 
   36   18    0.203625905374995E-08    0.471373311602998E-08 
   36   19   -0.588810508082516E-08   -0.637270784867929E-08 
   36   20   -0.610952984989384E-08    0.239317216918881E-08 
   36   21    0.110837522222959E-07   -0.620674136812138E-08 
   36   22    0.317391276274946E-08    0.116099550770987E-08 
   36   23    0.836129937706898E-10    0.274382536853023E-08 
   36   24    0.145253142602538E-08   -0.465461321227980E-08 
   36   25    0.484867829641425E-08    0.161778803392775E-07 
   36   26    0.406090000185605E-08    0.986652646431167E-08 
   36   27   -0.762529552533984E-08    0.902507386633062E-08 
   36   28    0.209319752013871E-08   -0.413444261346866E-08 
   36   29    0.147124351736834E-08   -0.137986094299544E-09 
   36   30   -0.102306411065544E-07    0.656682964038447E-08 
   36   31   -0.871462742163798E-08   -0.533548303557792E-08 
   36   32    0.130281042412349E-07    0.215786615476597E-08 
   36   33    0.336845569973167E-08   -0.387600916903287E-08 
   36   34   -0.896339127989513E-08    0.413103125591521E-08 
   36   35    0.185192288697959E-09   -0.126100986308240E-07 
   36   36    0.496992994214637E-08   -0.580843547946271E-08 
   37    0   -0.570834332594120E-08    0.000000000000000E+00 
   37    1   -0.695825760555058E-08   -0.129059503731460E-08 
   37    2   -0.216668450120219E-08   -0.116290036188133E-07 
   37    3   -0.581447277239575E-08   -0.790295688054555E-10 
   37    4    0.518609009005718E-08    0.218318710529144E-08 
   37    5   -0.930108499842969E-08    0.181943419840589E-09 
   37    6   -0.143023842595722E-08    0.867245947356303E-08 
   37    7    0.710372146061779E-08    0.856693959634327E-08 
   37    8   -0.332795125172486E-08   -0.368620790889441E-08 
   37    9    0.391195350066355E-08   -0.175783325984558E-09 
   37   10    0.469558354431425E-08    0.211115511461944E-08 
   37   11   -0.154144016681149E-08    0.410516880128748E-08 
   37   12   -0.159550874759699E-08   -0.502671007991447E-08 
   37   13   -0.109630315067920E-08   -0.706980928776628E-08 
   37   14   -0.409974834497153E-08   -0.189003696235206E-09 
   37   15    0.946693968483101E-08   -0.859587895396488E-09 
   37   16    0.318277859425646E-08    0.140838089855381E-07 
   37   17    0.578831205496889E-08   -0.334056831822610E-08 
   37   18    0.219306506686017E-08    0.331800038637400E-08 
   37   19   -0.652468077432709E-08    0.164986506496188E-09 
   37   20   -0.713083763770418E-08   -0.144607646205289E-08 
   37   21    0.121660423329020E-08   -0.129706791387245E-08 
   37   22    0.665084014751273E-08    0.548783779770990E-09 
   37   23   -0.120710060506860E-08    0.386147409785722E-08 
   37   24   -0.876529856958181E-08   -0.941674397564932E-08 
   37   25    0.667875234776962E-08   -0.272866812608162E-08 
   37   26    0.515298245994812E-08    0.109527694041257E-07 
   37   27   -0.570557605136184E-08    0.487327170215894E-08 
   37   28    0.124064910013474E-07    0.404700060980543E-08 
   37   29    0.461288888882556E-08    0.616331583650190E-08 
   37   30   -0.856207936451981E-08    0.121735234410918E-07 
   37   31    0.335198490861924E-08   -0.921558600628686E-08 
   37   32   -0.991407630646957E-10    0.428065449827757E-08 
   37   33    0.251746734538669E-08   -0.162255746194693E-07 
   37   34    0.232420420127358E-08    0.508189990622540E-09 
   37   35   -0.102202455602954E-07   -0.879512681235258E-08 
   37   36   -0.404249980636613E-08   -0.438931553558921E-08 
   37   37    0.557181338392989E-08   -0.408500036725551E-08 
   38    0   -0.242861644399249E-08    0.000000000000000E+00 
   38    1    0.509162550576671E-08    0.314368852745315E-08 
   38    2    0.750300621456198E-08   -0.118962972684862E-08 
   38    3   -0.132929969033927E-08   -0.471340433329859E-09 
   38    4    0.624624838002580E-08   -0.459133437376922E-08 
   38    5   -0.973555910653463E-08    0.926518934055798E-08 
   38    6   -0.126238210023395E-07    0.288340250980416E-08 
   38    7    0.207028962147295E-08   -0.108294023022520E-08 
   38    8    0.390390587036470E-08    0.616195674207316E-08 
   38    9    0.372885710074868E-08   -0.305486476005169E-08 
   38   10   -0.278595066255464E-08   -0.556951177249762E-08 
   38   11    0.175421963452854E-08    0.741997711207910E-08 
   38   12   -0.380672390570698E-08   -0.751949133129186E-08 
   38   13    0.247036445509648E-08   -0.114588417603284E-07 
   38   14   -0.777825429403489E-08    0.396546324167642E-08 
   38   15    0.266923383334784E-08   -0.262882973811619E-08 
   38   16   -0.605017834785250E-08    0.100175513108739E-07 
   38   17    0.278078780981395E-08    0.432189599453020E-08 
   38   18    0.908242603075006E-08   -0.162335966183321E-08 
   38   19    0.116430868343517E-08   -0.433695948553365E-11 
   38   20    0.463050739092781E-08   -0.275258577425926E-08 
   38   21   -0.103017097422729E-08    0.345818008055168E-08 
   38   22    0.118241088459449E-08    0.760931356485832E-08 
   38   23   -0.153933063739168E-08    0.586970234742454E-08 
   38   24   -0.134424450469501E-07    0.164614716580275E-08 
   38   25   -0.368982376859186E-08   -0.310654606073975E-08 
   38   26   -0.206854246944842E-08    0.539915402784741E-08 
   38   27   -0.233587342126209E-08    0.900227371184083E-08 
   38   28   -0.541821779811605E-08   -0.476371762897705E-08 
   38   29    0.614941505385350E-08    0.275767226223559E-08 
   38   30   -0.913395537120711E-10    0.201467835480043E-08 
   38   31    0.402268758356975E-08   -0.877778012290786E-08 
   38   32    0.793308881253332E-08    0.145890669183592E-08 
   38   33    0.313335887703346E-08    0.141683218673519E-07 
   38   34   -0.943758601978308E-08    0.352246175077952E-08 
   38   35    0.507029422369141E-08    0.230182573120807E-08 
   38   36    0.878460927104132E-09   -0.123577136279251E-08 
   38   37   -0.382503155362721E-08    0.227919249191987E-08 
   38   38    0.281051187285022E-08   -0.282708867083788E-08 
   39    0    0.129462903394099E-08    0.000000000000000E+00 
   39    1   -0.443046998253574E-08    0.831133626891754E-08 
   39    2    0.306497573776417E-08    0.707449932751673E-08 
   39    3   -0.489896250320016E-08    0.606304282183222E-08 
   39    4   -0.434054307797208E-08   -0.470232630681255E-08 
   39    5    0.463535015332110E-08    0.242532630878184E-08 
   39    6   -0.269415246451803E-08    0.245622189685475E-08 
   39    7    0.236895556285150E-08   -0.110001994718160E-08 
   39    8    0.277686231941358E-09    0.126069235251630E-07 
   39    9    0.728266758851572E-08    0.527204761775381E-08 
   39   10    0.264855681986540E-08    0.675612106764161E-09 
   39   11    0.125375864381198E-07   -0.225695320440295E-08 
   39   12   -0.340385358152837E-08    0.789473245139579E-08 
   39   13   -0.501244351243776E-09   -0.641754778237388E-08 
   39   14   -0.290558680619264E-08    0.241282410643484E-08 
   39   15   -0.568378262353214E-08   -0.794384182231761E-09 
   39   16    0.916693829727791E-09   -0.259681455611724E-08 
   39   17   -0.141910180858919E-08   -0.166215597641605E-08 
   39   18    0.182287742613675E-08    0.510279096120303E-09 
   39   19    0.505061374292738E-08    0.645610970931735E-08 
   39   20    0.251568735843810E-09   -0.900834376871565E-08 
   39   21   -0.451938079899746E-08    0.110487964050463E-08 
   39   22   -0.636850226059802E-08   -0.999920622557633E-09 
   39   23   -0.281558534853522E-08    0.576583756916335E-08 
   39   24   -0.977412377527387E-08    0.799741099583165E-08 
   39   25   -0.566412955017074E-08   -0.552976152646732E-08 
   39   26   -0.370784268402584E-08    0.781326083807347E-08 
   39   27   -0.792482209024557E-08   -0.255888236000148E-08 
   39   28   -0.343193915222619E-08   -0.105412960181245E-07 
   39   29   -0.585493696982045E-09   -0.310248413004887E-08 
   39   30    0.432012277193818E-08   -0.105512375078563E-07 
   39   31    0.131448974266346E-08   -0.112139946954862E-07 
   39   32    0.323453294313760E-08    0.437235463371038E-08 
   39   33   -0.583791128527491E-08    0.319196940021865E-08 
   39   34   -0.145705754471776E-08    0.330747012597886E-08 
   39   35   -0.138826346529988E-07    0.252130477842259E-08 
   39   36    0.452258107849637E-08   -0.349602717653523E-08 
   39   37    0.873070175633299E-09   -0.507028924139474E-08 
   39   38   -0.946875010980060E-09    0.754854805429096E-08 
   39   39   -0.119827173080375E-09    0.196087364294613E-08 
   40    0   -0.622016382690433E-08    0.000000000000000E+00 
   40    1    0.380752043920671E-08   -0.115012236012520E-08 
   40    2   -0.112192425625851E-08    0.446471547854548E-09 
   40    3   -0.117503373041992E-08   -0.247878959019564E-08 
   40    4    0.666053018677097E-08   -0.762839086434381E-08 
   40    5    0.123111564329080E-07    0.113592183244726E-08 
   40    6   -0.147332797101688E-08    0.309001275648206E-08 
   40    7   -0.214791363867753E-09    0.158061396025323E-08 
   40    8    0.611194594762978E-08    0.464463993000121E-08 
   40    9   -0.308893282324854E-08    0.933088887113225E-09 
   40   10   -0.519593190028598E-08    0.337891294824552E-08 
   40   11    0.447058210864454E-08   -0.356109875709710E-08 
   40   12    0.709412091724336E-08    0.136017126192503E-08 
   40   13   -0.307703919217859E-08   -0.581368377669455E-08 
   40   14   -0.124342098364695E-08    0.112615499374208E-08 
   40   15   -0.506735088973804E-08   -0.177683375425467E-08 
   40   16   -0.144997971114142E-08   -0.385045597760908E-08 
   40   17    0.544804541886708E-09    0.134345188116176E-09 
   40   18   -0.980153845528547E-09    0.967210679820943E-09 
   40   19   -0.202020968365261E-08   -0.338193068946679E-09 
   40   20   -0.779505592724439E-08    0.762965865520151E-08 
   40   21   -0.348145610518707E-08   -0.549601824995059E-09 
   40   22   -0.135778763273285E-07   -0.157608789312928E-07 
   40   23   -0.272067770547854E-10   -0.129238355047271E-07 
   40   24    0.424178517553532E-08    0.311476677110712E-08 
   40   25    0.749289312582021E-09   -0.351940071506323E-08 
   40   26    0.720556760590841E-08   -0.462792669089261E-08 
   40   27   -0.136867250037242E-08    0.221578556342867E-08 
   40   28    0.225900824652673E-08    0.690584637868145E-08 
   40   29    0.216297949728867E-08    0.263652578313992E-08 
   40   30   -0.900625921619086E-10    0.945359335806561E-09 
   40   31   -0.620351856619470E-08   -0.110152781823016E-08 
   40   32   -0.191292646468939E-08   -0.579861502767193E-08 
   40   33   -0.143395012759943E-08   -0.132439282964031E-08 
   40   34    0.842437853677092E-09    0.151508146182037E-08 
   40   35    0.725564616454613E-08   -0.839185322215791E-08 
   40   36    0.365328204779601E-08    0.642005082071679E-08 
   40   37   -0.544389025097066E-08    0.130074873014336E-08 
   40   38    0.376901049763183E-09    0.410285701764543E-08 
   40   39    0.646467866450658E-08    0.396599121299246E-08 
   40   40   -0.178069319722369E-08    0.601688370271514E-09 
   41    0   -0.324045531940121E-08    0.000000000000000E+00 
   41    1   -0.714389627713801E-08   -0.329362707237955E-08 
   41    2    0.361396468299455E-08    0.335004497864170E-08 
   41    3    0.393976978594286E-08    0.314595484298994E-08 
   41    4   -0.164739041632043E-08    0.373031323662575E-08 
   41    5    0.460274032374840E-08   -0.302319751991475E-08 
   41    6    0.251599239476125E-08    0.150586521356524E-08 
   41    7   -0.710184928975637E-09    0.265333922297893E-08 
   41    8   -0.160698261099346E-08   -0.454491029760721E-08 
   41    9   -0.167834697134582E-08    0.481435645832424E-08 
   41   10    0.572774892244617E-08    0.148331572637785E-08 
   41   11    0.257672289448978E-08   -0.575472212137132E-08 
   41   12    0.472020032812960E-08    0.860030197648866E-10 
   41   13   -0.151771566223608E-08    0.641097429732194E-08 
   41   14    0.415432307189245E-08   -0.373938630122462E-09 
   41   15   -0.975477919252030E-09    0.154943866782928E-08 
   41   16   -0.348549925676147E-09   -0.450719064045965E-08 
   41   17   -0.194144833494318E-08    0.221934956793800E-08 
   41   18   -0.268096296769243E-08    0.427061152259877E-08 
   41   19   -0.204763002220933E-08   -0.132375036861322E-08 
   41   20   -0.187933978364265E-08   -0.662482942784648E-09 
   41   21   -0.220514746777780E-08   -0.302096586071539E-08 
   41   22   -0.101466246265104E-07   -0.238163011931670E-08 
   41   23    0.486975747225316E-09   -0.139808869319184E-07 
   41   24    0.643690829114816E-08   -0.211357337982754E-08 
   41   25    0.148978996240313E-09    0.283817628956212E-08 
   41   26    0.613904036350077E-08   -0.822994087289868E-08 
   41   27    0.181549401468493E-08   -0.751873671349948E-09 
   41   28   -0.168709493504218E-08   -0.489612937234640E-08 
   41   29   -0.505331931580476E-08    0.580985635541775E-08 
   41   30    0.213674410335291E-08   -0.798869204324968E-09 
   41   31    0.108137111608160E-07    0.558598647269904E-09 
   41   32   -0.223820927838567E-08    0.403824506264387E-08 
   41   33   -0.196329165096115E-08    0.107530354047498E-07 
   41   34   -0.274204744680684E-08    0.487065323757796E-08 
   41   35   -0.138527360547890E-07    0.412615736021889E-08 
   41   36    0.265877171155842E-08   -0.299429648422574E-08 
   41   37    0.640336664230573E-09   -0.101847975922061E-07 
   41   38   -0.105611999281048E-07   -0.153501288570664E-08 
   41   39   -0.551466014374455E-08   -0.260585080096931E-08 
   41   40    0.395461280231906E-08   -0.477851904637028E-08 
   41   41    0.413793512255922E-08    0.579018866416680E-08 
   42    0   -0.220831433167729E-08    0.000000000000000E+00 
   42    1   -0.227437690972726E-08   -0.378967249970396E-09 
   42    2   -0.381570908521044E-08   -0.288359523778428E-08 
   42    3   -0.373592130093884E-10    0.994597602236819E-08 
   42    4    0.710989163455636E-08    0.142502440910058E-08 
   42    5   -0.963009329572440E-08   -0.335870372242443E-08 
   42    6    0.348137015249189E-08   -0.121877121720565E-08 
   42    7    0.407254976574634E-08   -0.325557271712898E-08 
   42    8    0.771638140248027E-09    0.818005823906556E-09 
   42    9   -0.688914024524425E-09    0.162357298046700E-08 
   42   10    0.343260335275300E-08    0.545440067279954E-08 
   42   11    0.119549456549264E-08    0.193165219753582E-08 
   42   12    0.394570499102048E-08   -0.100898022111819E-07 
   42   13    0.717163705201834E-09    0.424653882997620E-08 
   42   14   -0.704657746085081E-08    0.545998109255397E-08 
   42   15   -0.109080897473019E-08    0.735155140148853E-08 
   42   16    0.417459936759733E-08   -0.280471830720032E-08 
   42   17   -0.164580855387259E-08   -0.321208611646708E-08 
   42   18   -0.121494130998711E-07    0.183951630237382E-08 
   42   19   -0.282585297231151E-08   -0.573808465989652E-08 
   42   20    0.665139643051616E-08    0.815723787878019E-09 
   42   21    0.449967956321470E-09   -0.451455080605337E-08 
   42   22    0.998979819666650E-09   -0.348585173272475E-08 
   42   23   -0.431060168935068E-08   -0.465491969851263E-08 
   42   24    0.466299947955948E-08    0.133400894687304E-08 
   42   25   -0.408188776293909E-08    0.431655463607605E-08 
   42   26   -0.251365752668842E-08   -0.636371890097867E-08 
   42   27    0.675529122564975E-08   -0.233488758470502E-08 
   42   28   -0.505029865791339E-08    0.217117919001192E-08 
   42   29   -0.591958269293596E-08   -0.271343228954823E-08 
   42   30    0.336773081911306E-08    0.697541542887121E-09 
   42   31    0.609367676471056E-08    0.459315563418895E-08 
   42   32    0.703340809846436E-08    0.516720970226501E-08 
   42   33    0.638690461767078E-08    0.634196719431227E-08 
   42   34    0.300741389178583E-08    0.112822591754705E-07 
   42   35   -0.551121527663625E-08    0.202219696304641E-09 
   42   36    0.463003143676046E-08   -0.539272097071093E-08 
   42   37   -0.701916476529581E-08    0.326627512336210E-08 
   42   38    0.250510643820784E-08   -0.130504685493258E-07 
   42   39    0.431052629669559E-08    0.985162782802252E-08 
   42   40    0.146141544904486E-08   -0.284849044787737E-08 
   42   41    0.517159921761496E-09   -0.430892331891468E-10 
   42   42   -0.649481219632639E-08    0.282782367124133E-08 
   43    0    0.646200543620946E-08    0.000000000000000E+00 
   43    1   -0.489076445113326E-08    0.419330645339032E-08 
   43    2   -0.944132360503860E-08   -0.134846446921616E-08 
   43    3    0.512536757037380E-09   -0.144360075224281E-09 
   43    4    0.183215889884097E-08    0.915913843840393E-09 
   43    5   -0.887843167168288E-08    0.648968167344267E-08 
   43    6    0.627548290713760E-08    0.952467873791014E-10 
   43    7   -0.144629379913584E-08    0.579211295800301E-08 
   43    8   -0.562994541550015E-09   -0.362534931926570E-09 
   43    9   -0.143284643045901E-08   -0.616991271403996E-08 
   43   10   -0.354846102149940E-09    0.141891916002908E-08 
   43   11   -0.526354132649559E-08    0.533545773543964E-08 
   43   12   -0.191438795966927E-08    0.463292183867936E-09 
   43   13    0.221880374219566E-08   -0.143689779792052E-08 
   43   14   -0.507447301012498E-08    0.340542406001953E-08 
   43   15    0.388496440596157E-08    0.670455586005284E-08 
   43   16    0.239148707928377E-08    0.805836025461303E-09 
   43   17    0.444645696988865E-08   -0.436474096015948E-08 
